Make,Model,Logo,janv-12,Feb 2012,mars-12,Apr 2012,May 2012,juin-12,juil-12,Aug 2012,sept-12,oct-12,nov-12,Dec 2012,janv-13,Feb 2013,mars-13,Apr 2013,May 2013,juin-13,juil-13,Aug 2013,sept-13,oct-13,nov-13,Dec 2013,janv-14,Feb 2014,mars-14,Apr 2014,May 2014,juin-14,juil-14,Aug 2014,sept-14,oct-14,nov-14,Dec 2014,janv-15,Feb 2015,mars-15,Apr 2015,May 2015,juin-15,juil-15,Aug 2015,sept-15,oct-15,nov-15,Dec 2015,janv-16,Feb 2016,mars-16,Apr 2016,May 2016,juin-16,juil-16,Aug 2016,sept-16,oct-16,nov-16,Dec 2016,janv-17,Feb 2017,mars-17,Apr 2017,May 2017,juin-17,juil-17,Aug 2017,sept-17,oct-17,nov-17,Dec 2017,janv-18,Feb 2018,mars-18,Apr 2018,May 2018,juin-18,juil-18,Aug 2018,sept-18,oct-18,nov-18,Dec 2018,janv-19,Feb 2019,mars-19,Apr 2019,May 2019,juin-19,juil-19,Aug 2019,sept-19,oct-19,nov-19,Dec 2019
BMW,330e,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,44.0,111.0,137.0,218.0,269.0,323.0,415.0,630.0,870.0,999.0,1143.0,1508.0,1768.0,2243.0,2739.0,3126.0,3535.0,3864.0,4171.0,4648.0,5011.0,5112.0,5254.0,5456.0,5622.0,5772.0,5910.0,6016.0,6208.0,6403.0,6632.0,7005.0,7611.0,7827.0,8012.0,8187.0,8240.0,"8,267","8,292","8,308","8,313","8,315","8,32",8326,8330
Chevrolet,Bolt EV,https://www.carlogos.org/logo/Chevrolet-logo-2013-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.0,1741.0,2693.0,3671.0,4963.0,6529.0,8171.0,10142.0,12249.0,14881.0,17662.0,20649.0,23876.0,25053.0,26477.0,28251.0,29526.0,30651.0,31734.0,32909.0,34134.0,35683.0,37658.0,40483.0,41895.0,42820.0,44045.0,46211.0,47121.0,"48,517","50,176","51,161","52,881","55,006","56,313","57,313","58,313"
Mercedes,GLE 550e,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,49.0,73.0,99.0,118.0,148.0,231.0,283.0,342.0,389.0,425.0,458.0,499.0,526.0,549.0,563.0,571.0,612.0,694.0,738.0,808.0,989.0,1082.0,1165.0,1240.0,1325.0,1415.0,1457.0,1485.0,1520.0,1660.0,1752.0,1847.0,1957.0,2107.0,"2,292","2,472","2,642","2,747","2,812","2,991‬","3,101","3,169‬"
Mercedes,C350e,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,381.0,432.0,449.0,452.0,459.0,459.0,571.0,783.0,909.0,958.0,974.0,988.0,1017.0,1189.0,1397.0,1555.0,1721.0,1897.0,2062.0,2232.0,2314.0,2389.0,2469.0,2709.0,2849.0,2994.0,3129.0,3302.0,"3,517","3,752","3,982","4,172","4,302","4,544‬","4,744‬","4,881"
BMW,740e,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,41.0,76.0,118.0,241.0,274.0,326.0,406.0,445.0,488.0,543.0,663.0,730.0,748.0,771.0,802.0,862.0,879.0,895.0,935.0,953.0,978.0,1023.0,1041.0,1069.0,1075.0,1089.0,1104.0,1112.0,"1,124","1,13","1,132","1,14","1,145","1,149","1,153","1,156"
Chrysler,Pacifica Hybrid,https://www.carlogos.org/logo/Chrysler-logo-2010-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,347.0,1052.0,1407.0,1532.0,1957.0,2432.0,3307.0,3877.0,4597.0,4972.0,5422.0,5902.0,6327.0,6977.0,7687.0,8137.0,8791.0,9428.0,10051.0,10946.0,11659.0,12095.0,12684.0,13067.0,13414.0,"13,804","14,195","14,58","14,975","15,39","15,99","16,59","17,382"
BMW,530e,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,160.0,399.0,742.0,1087.0,1598.0,2194.0,3066.0,3772.0,3996.0,4409.0,5098.0,5616.0,6345.0,7287.0,7823.0,8572.0,9328.0,10061.0,11073.0,12436.0,12812.0,13226.0,13662.0,14078.0,"14,805","15,713","16,157","16,763","17,073","17,378","17,799‬","18,298‬"
Tesla,Model 3,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,105.0,222.0,367.0,704.0,1764.0,3639.0,6124.0,9944.0,13694.0,19694.0,25596.0,39846.0,57646.0,79896.0,97646.0,116296.0,141546.0,148046.0,153796.0,163971.0,174021.0,"187,971","209,196","221,746","234,096","253,196","270,471","285,471","300,471"
Kia,Optima PHEV,https://www.carlogos.org/logo/Kia-logo-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,71.0,141.0,227.0,312.0,390.0,520.0,702.0,930.0,1165.0,1378.0,1512.0,1598.0,1701.0,1857.0,1999.0,2097.0,2180.0,2270.0,2309.0,2326.0,2377.0,2456.0,2477.0,2507.0,2518.0,2526.0,2531.0,2531,"2,582","2,617","2,652","2,702","2,738‬","2,770‬","2,812‬"
Honda,Clarity BEV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,49.0,101.0,135.0,594.0,1121.0,1274.0,1348.0,1396.0,1435.0,1469.0,1555.0,1657.0,1732.0,1840.0,1946.0,1983.0,2069.0,2147.0,2215.0,2307.0,2395.0,"2,477","2,529","2,576","2,641","2,676","2,711","2,766","2,811"
Honda,Clarity PHEV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,903.0,1507.0,2418.0,3549.0,4678.0,6317.0,7812.0,9354.0,10816.0,12813.0,14838.0,16735.0,19505.0,20697.0,21910.0,23221.0,24202.0,"25,018","26,048","26,848","27,688","28,088","28,683","29,478","30,233"
Volvo,XC60 PHEV,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,78.0,175.0,275.0,357.0,531.0,640.0,795.0,962.0,1103.0,1317.0,1543.0,1728.0,1938.0,2153.0,2333.0,2558.0,2798.0,2888.0,2988.0,3113.0,3198.0,"3,293","3,468","3,608","3,713","3,893","3,893","3,893","3,893"
Mini,Countryman SE PHEV,https://www.carlogos.org/logo/Mini-logo-2001-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,85.0,171.0,251.0,307.0,403.0,475.0,602.0,702.0,776.0,882.0,1045.0,1256.0,1466.0,1594.0,1734.0,1851.0,1925.0,2039.0,2089.0,2152.0,2197.0,2234.0,"2,319","2,363","2,403","2,453","2,483","2,508‬","2,543‬","2,563‬"
Hyundai,IONIQ EV,https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,24.0,99.0,157.0,200.0,266.0,302.0,330.0,353.0,432.0,481.0,484.0,544.0,551.0,583.0,630.0,665.0,686.0,698.0,719.0,753.0,777.0,811.0,843.0,871.0,880.0,941,"1,003","1,058","1,098","1,168","9,629","9,723","9,796‬"
Cadillac,CT6 PHEV,https://www.carlogos.org/logo/Cadillac-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,24.0,44.0,66.0,89.0,116.0,143.0,172.0,207.0,213.0,237.0,254.0,296.0,326.0,344.0,370.0,393.0,404.0,416.0,429.0,438.0,446.0,447.0,450.0,452.0,452,454,456,458,461,461,461,461
Volvo,S90 T8 PHEV,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,33.0,65.0,117.0,144.0,173.0,225.0,254.0,284.0,319.0,349.0,389.0,434.0,469.0,509.0,554.0,589.0,634.0,689.0,724.0,774,814,859,914,974,988,1001,1010
Mitsubishi,Outlander PHEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,399.0,722.0,1095.0,1368.0,1665.0,2055.0,2405.0,2771.0,3149.0,3458.0,3834.0,4265.0,4398.0,4555.0,4896.0,5059.0,"5,291","5,513","5,726","6,003","6,179","6,434","6,806","7,075"
Kia,Niro PHEV,https://www.carlogos.org/logo/Kia-logo-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,401.0,628.0,748.0,966.0,1247.0,1472.0,1818.0,2131.0,2454.0,3073.0,3389.0,3668.0,4173.0,4403.0,4648.0,"4,977","5,328","5,653","5,953","6,328","6,636‬","6,961‬","7,270‬"
Mercedes,GLC 350e,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,62.0,121.0,185.0,251.0,311.0,376.0,403.0,423.0,447.0,567.0,641.0,713.0,888.0,1108.0,"1,372","1,642","1,907","2,137","2,317","2,595","2,837","3,026"
Jaguar,I-Pace,https://www.carlogos.org/logo/Jaguar-logo-2012-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,170.0,393.0,603.0,789.0,1001.0,1238.0,"1,466","1,702","1,915","2,075","2,235","2,541","2,811","2,987"
Hyundai,IONIQ PHEV,https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,200.0,418.0,598.0,815.0,958.0,1138.0,1181.0,1192.0,1320.0,1456.0,1590.0,1663.0,1717.0,1811.0,1874.0,"1,937","2,089","2,194","2,319","2,454","2,827‬","3,043‬","3,211"
Hyundai,Kona Electric,https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,143.0,220.0,311,427,577,707,897,"1,068","1,254‬","1,461"
Audi,e-tron,https://www.carlogos.org/logo/Audi-logo-2009-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,"1,109","1,835","2,513","3,106","3,54","4,002","4,623","5,369"
Subaru,Crosstrek Hybrid,https://www.carlogos.org/logo/Subaru-logo-2003-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,79.0,126.0,191,261‬,376,466,586,721‬,842,970‬
Kia,Niro EV,https://www.carlogos.org/logo/Kia-logo-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,159,208,288,343,433,622‬,880‬,"1,166"
Porsche,Taycan,https://www.carlogos.org/logo/Porsche-logo-2008-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
